geneID	autocorrect	BCV
ENSG00000259383	Yes	4.10570887929939
ENSG00000280881	Yes	4.00811430192591
ENSG00000242613	Yes	3.40290533933497
ENSG00000278618	Yes	3.24530533476485
ENSG00000214617	Yes	3.02591976120526
ENSG00000278955	Yes	2.913071735403
ENSG00000225210	Yes	2.84696274390777
ENSG00000215506	Yes	2.82093862589961
ENSG00000272872	Yes	2.75056661357017
ENSG00000226278	Yes	2.72414195919218
ENSG00000261127	Yes	2.70492401234579
ENSG00000251129	Yes	2.68295400763922
ENSG00000279508	Yes	2.67451300948814
ENSG00000277146	Yes	2.55339447217897
ENSG00000261466	Yes	2.55326894842187
ENSG00000223875	Yes	2.5486730666372
ENSG00000228314	Yes	2.49205803974535
ENSG00000188399	Yes	2.4474467470323
ENSG00000204894	Yes	2.40353423565852
ENSG00000276736	Yes	2.40127940293574
ENSG00000227012	Yes	2.34532510021182
ENSG00000022556	Yes	2.33530504214465
ENSG00000230965	Yes	2.27355618735168
ENSG00000211574	Yes	2.21448183082886
ENSG00000273795	Yes	2.17840270956534
ENSG00000278932	Yes	2.14378033617732
ENSG00000269466	Yes	2.12854422958792
ENSG00000273646	Yes	2.12741987417849
ENSG00000250386	Yes	2.10768562868363
ENSG00000278931	Yes	2.10311616861529
ENSG00000274482	Yes	2.08553242696771
ENSG00000280614	Yes	1.99996333176299
ENSG00000273730	Yes	1.96812343807641
ENSG00000207608	Yes	1.95489832485486
ENSG00000227582	Yes	1.95058633498126
ENSG00000200608	Yes	1.88505818388563
ENSG00000201950	Yes	1.87557363958651
ENSG00000277658	Yes	1.84584493242825
ENSG00000277644	Yes	1.8456422040403
ENSG00000229238	Yes	1.84131595571512
ENSG00000214548	Yes	1.80898591898743
ENSG00000200367	Yes	1.78028834788166
ENSG00000207569	Yes	1.76656615569075
ENSG00000272474	Yes	1.76072662639919
ENSG00000212384	Yes	1.75708661124653
ENSG00000054803	Yes	1.75256307511825
ENSG00000278018	Yes	1.74314642731938
ENSG00000201672	Yes	1.74010187469095
ENSG00000276705	Yes	1.73368582918697
ENSG00000201240	Yes	1.72947795756092
ENSG00000185985	Yes	1.7267063642687
ENSG00000221870	Yes	1.70807206920445
ENSG00000201700	Yes	1.70775770164599
ENSG00000202191	Yes	1.68923592026403
ENSG00000201036	Yes	1.68582368157994
ENSG00000277145	Yes	1.6725233106475
ENSG00000274804	Yes	1.67138024747612
ENSG00000224114	Yes	1.64223013162994
ENSG00000278272	Yes	1.64071497432848
ENSG00000215559	Yes	1.63544239720354
ENSG00000200150	Yes	1.6244338602221
ENSG00000174080	Yes	1.60417043950879
ENSG00000274884	Yes	1.60059657514852
ENSG00000203616	Yes	1.59760435765916
ENSG00000278836	Yes	1.58934031735128
ENSG00000201500	Yes	1.58150605505988
ENSG00000276936	Yes	1.57591063886386
ENSG00000208001	Yes	1.56469911546955
ENSG00000215146	Yes	1.56248365694923
ENSG00000281181	Yes	1.56232963204816
ENSG00000181234	Yes	1.55534458493058
ENSG00000275187	Yes	1.5525223885882
ENSG00000201263	Yes	1.5477047806996
ENSG00000053438	Yes	1.54668845964366
ENSG00000202270	Yes	1.53917590498544
ENSG00000234444	Yes	1.52908160737457
